subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,mean_believed_alpha,median_believed_sd,median_believed_alpha
2,0.24,80,early,166,23.80320343441603,0.5347318391924837,24.940681334300805,0.5192392948481006
2,0.24,80,late,158,26.15384781464525,0.5252455482375102,27.59769822997344,0.5086326282592335
2,0.24,80,middle,152,25.364534045334228,0.5239323474289965,26.260177811236566,0.5104733680016569
3,0.06,10,early,314,10.458266885571716,0.9125373600125984,10.082538456815442,0.944497268512365
3,0.06,10,late,322,10.254758717147466,0.945930565380601,10.238368926035047,0.9538672318471131
3,0.06,10,middle,327,10.17326377662424,0.944152168986589,10.161379721895912,0.953645034293762
3,0.06,20,early,321,17.95845730797706,0.8642059215968972,18.227326829739276,0.8831342471940375
3,0.06,20,late,320,17.726518697322287,0.8964759928139975,17.82751285220737,0.9142326137312682
3,0.06,20,middle,304,17.103564526276024,0.897404236423767,17.16124416728171,0.9117485318446086
3,0.06,40,early,260,24.96170148951058,0.767657483442925,25.49401451483034,0.7852441164781438
3,0.06,40,late,265,27.056426109092584,0.7802272113480604,28.324273812949727,0.8032700750824279
3,0.06,40,middle,279,25.071896111982696,0.7784007374690679,25.662963557699666,0.8039980770823452
3,0.06,80,early,652,26.543876899075055,0.5432376200835779,27.773534578161307,0.5180227134355306
3,0.06,80,late,606,26.68633856182332,0.5417711901712605,28.224450017453464,0.5181350277789323
3,0.06,80,middle,661,26.378155344339735,0.5466391420089936,27.769378203049776,0.524323457895199
3,0.12,10,early,229,10.432428353201603,0.909922886295511,10.055033359918212,0.9442863246744174
3,0.12,10,late,221,10.267808746823384,0.9468972451662063,10.19332559290213,0.953942943400362
3,0.12,10,middle,210,10.136817994850215,0.9464510641705501,10.1933861586115,0.954026268031481
3,0.12,20,early,220,17.792455276724322,0.8731831705737457,17.79054774005484,0.8922843686099855
3,0.12,20,late,225,17.806844496415106,0.8896125603115259,17.91472394206119,0.9103936379566842
3,0.12,20,middle,230,17.33772322675461,0.8959179594226022,17.564974125013073,0.9140241616137468
3,0.12,40,early,198,25.15518698832507,0.7619804708841393,25.203111162886636,0.7873741056937827
3,0.12,40,late,202,26.344419622735394,0.7660064018023123,27.38099213163278,0.7946586469205544
3,0.12,40,middle,198,25.713972925147292,0.7785060689213534,27.411130679718053,0.8022984341741224
3,0.12,80,early,442,26.078599347856148,0.5414607356525539,27.215456831434178,0.5137040915163467
3,0.12,80,late,472,26.554233532515163,0.544135148970986,27.790802599849478,0.5195619178176967
3,0.12,80,middle,435,26.04166713444108,0.5447977965324933,27.103151374507828,0.5211635398093755
3,0.24,10,early,105,10.28977466947822,0.9109475426986001,10.05496675215448,0.9458064784368864
3,0.24,10,late,105,10.219059428943572,0.9484852874061216,10.188325674745593,0.9539519801932683
3,0.24,10,middle,108,10.30191342073369,0.9405065106431645,10.248757938080697,0.9530744689008483
3,0.24,20,early,95,18.467295270056773,0.8678887015589771,18.517932662079424,0.8888569980928769
3,0.24,20,late,91,17.9587641514741,0.8952540802760536,18.18493743524582,0.9171095171666485
3,0.24,20,middle,96,16.896946717645324,0.8994005659538251,17.093273775395666,0.9119761792523065
3,0.24,40,early,90,25.835701855454182,0.7723525472506204,27.324936768800704,0.7964876060983481
3,0.24,40,late,81,25.452825412906485,0.7689294114573618,26.422111357953614,0.7927887294962734
3,0.24,40,middle,73,25.148137031896248,0.7833919839393065,25.259708428862083,0.8124102051861651
3,0.24,80,early,215,27.35690788511786,0.5230669344481652,28.77317707035708,0.5044333806829568
3,0.24,80,late,231,26.543954202013488,0.52975155522669,28.18559767455662,0.496158726063724
3,0.24,80,middle,209,27.802095759933394,0.5405216757626826,29.13378063712039,0.5197528763217014
4,0.06,10,early,141,10.87131648238422,0.8757215176463609,10.502238696625193,0.8975727755495349
4,0.06,10,late,137,10.415890225284093,0.9033377136804666,10.294464301855562,0.912756952624333
4,0.06,10,middle,150,10.188256180997032,0.90190311613051,10.06628496217132,0.9135823207465723
4,0.06,20,early,173,17.103354647229764,0.7903442791494835,16.67528949871404,0.8051811339160584
4,0.06,20,late,180,16.94470362817663,0.8205827448958964,16.428805244369087,0.843052123280223
4,0.06,20,middle,182,16.79798106234244,0.8099860753414844,16.679036087280487,0.825213979328641
4,0.06,40,early,164,22.621696072471728,0.656651182380548,24.090215450288042,0.6601642744958954
4,0.06,40,late,177,22.755220040379978,0.6596170656320317,23.2459564574865,0.6607407104808869
4,0.06,40,middle,164,24.371190876290704,0.6684595072684545,25.621192275610888,0.6696690652986483
4,0.06,80,early,308,24.9092945472808,0.5254514098304225,26.307015369870683,0.5087641651985533
4,0.06,80,late,312,25.110877158427105,0.5255184996042932,25.95874088414042,0.513711786996969
4,0.06,80,middle,291,25.8030994919696,0.5174732856494229,27.149793337414298,0.49902393767604264
4,0.12,10,early,93,10.786246646370174,0.8807075547230215,10.501193115655616,0.9032407256274646
4,0.12,10,late,102,10.542334767557117,0.8987385650427335,10.386856078273166,0.9129320151270461
4,0.12,10,middle,97,10.09120386928152,0.9083693665755294,9.948281744530236,0.9162210725287159
4,0.12,20,early,139,16.817900478193746,0.7884941280950887,16.620242323658243,0.8152080862578588
4,0.12,20,late,123,17.64976701880004,0.8201369482352951,17.755219832900853,0.8423484170489881
4,0.12,20,middle,113,16.931885087630242,0.8093361534700311,16.454598888441627,0.8345087378646626
4,0.12,40,early,126,23.369820741122332,0.6631512527345004,24.38016263810093,0.659287417203554
4,0.12,40,late,116,22.987052082108047,0.6660749914287236,23.909945262702145,0.6824394363820934
4,0.12,40,middle,133,23.561389741887787,0.6699897021204989,24.935408887687636,0.6791759977579714
4,0.12,80,early,217,24.755253397929145,0.525488233044533,25.850740337489484,0.5070049908317225
4,0.12,80,late,204,25.824040348497302,0.5209212432825641,28.05005225326424,0.5098221996557226
4,0.12,80,middle,219,24.23153465297576,0.5252087885209956,25.84882497553428,0.5117571781869756
4,0.24,10,early,50,11.37285127662313,0.8554800924107281,10.59064630063466,0.8751843589600126
4,0.24,10,late,45,10.511945543221987,0.8942186024378793,10.232093033505572,0.9106810942549928
4,0.24,10,middle,37,10.581890743180107,0.8888163730125637,10.278555457181238,0.9093095080145848
